ZAA	U	2003-01-31	Change name ZAPOTECO, JUAREZ, SIERRA  to ZAPOTEC, SIERRA JUAREZ		
ZAB	U	2003-01-31	Change name ZAPOTECO, SAN JUAN GUELAVIA to ZAPOTEC, GUELAVIA		
ZAC	U	2003-01-31	Change name ZAPOTECO, OCOTLAN OESTE to ZAPOTEC, WESTERN OCOTLAN		
ZAD	U	2003-01-31	Change name ZAPOTECO, CAJONOS to ZAPOTEC, CAJONOS		
ZAE	U	2003-01-31	Change name ZAPOTECO, YARENI to ZAPOTEC, YARENI		
ZAF	U	2003-01-31	Change name ZAPOTECO, AYOQUESCO to ZAPOTEC, AYOQUESCO		
ZAI	U	2003-01-31	Change name ZAPOTECO, ISTMO to ZAPOTEC, ISTHMUS		
ZAM	U	2003-01-31	Change name ZAPOTECO, MIAHUATLAN CENTRAL to ZAPOTEC, MIAHUATLAN		
ZAO	U	2003-01-31	Change name ZAPOTECO, OZOLOTEPEC to ZAPOTEC, OZOLOTEPEC		
ZAQ	U	2003-01-31	Change name ZAPOTECO, ALOAPAM to ZAPOTEC, ALOAPAM		
ZAR	U	2003-01-31	Change name  ZAPOTECO, RINCON to ZAPOTEC, RINCON		
ZAS	U	2003-01-31	Change name ZAPOTECO, ALBARRADAS to ZAPOTEC, SANTO DOMINGO ALBARRADAS		
ZAT	U	2003-01-31	Change name ZAPOTECO, TABAA to ZAPOTEC, TABAA		
ZAV	U	2003-01-31	Change name ZAPOTECO, YATZACHI to ZAPOTEC, YATZACHI		
ZAW	U	2003-01-31	Change name ZAPOTECO, MITLA to ZAPOTEC, MITLA		
ZAX	U	2003-01-31	Change name ZAPOTECO, XADANI to ZAPOTEC, XADANI		
ZOO	U	2003-01-31	Change name ZAPOTECO, ASUNCION MIXTEPEC to ZAPOTEC, ASUNCION MIXTEPEC		
ZPA	U	2003-01-31	Change name ZAPOTECO, LACHIGUIRI to ZAPOTECO, LACHIGUIRI		
ZPB	U	2003-01-31	Change name ZAPOTECO, YAUTEPEC to ZAPOTEC, YAUTEPEC		
ZPC	U	2003-01-31	Change name ZAPOTECO, CHOAPAN to ZAPOTEC, CHOAPAN		
ZPD	U	2003-01-31	Change name ZAPOTECO, IXTLAN SURESTE to ZAPOTEC, SOUTHEASTERN IXTLAN		
ZPE	U	2003-01-31	Change name ZAPOTECO, PETAPA to ZAPOTEC, PETAPA		
ZPF	U	2003-01-31	Change name ZAPOTECO, SAN PEDRO QUIATONI to ZAPOTEC, SAN PEDRO QUIATONI		
ZPH	U	2003-01-31	Change name ZAPOTECO, TOTOMACHAPAN to ZAPOTEC, TOTOMACHAPAN		
ZPI	U	2003-01-31	Change name ZAPOTECO, SANTA MARIA QUIEGOLANI to ZAPOTEC, SANTA MARIA QUIEGOLANI		
ZPJ	U	2003-01-31	Change name ZAPOTECO, QUIAVICUZAS to ZAPOTEC, QUIAVICUZAS		
ZPK	U	2003-01-31	Change name ZAPOTECO, TLACOLULITA to ZAPOTEC, TLACOLULITA 		
ZPL	U	2003-01-31	Change name ZAPOTECO, SOLA DE VEGA ESTE to ZAPOTEC, LACHIXIO		
ZPM	U	2003-01-31	Change name ZAPOTECO, MIXTEPEC to ZAPOTEC, MIXTEPEC		
ZPN	U	2003-01-31	Change name ZAPOTECO, SANTA INES YATZECHI to ZAPOTEC, SANTA INES YATZECHI  		
ZPO	U	2003-01-31	Change name ZAPOTECO, AMATLAN to ZAPOTEC, AMATLAN		
ZPP	U	2003-01-31	Change name ZAPOTECO, EL ALTO to ZAPOTEC, EL ALTO		
ZPQ	U	2003-01-31	Change name ZAPOTECO, ZOOGOCHO to ZAPOTEC, ZOOGOCHO		
ZPR	U	2003-01-31	Change name ZAPOTECO, SANTIAGO XANICA to ZAPOTEC, SANTIAGO XANICA		
